artifact,role,concept,library,inspection_target
artifacts/chapter-22/figures/schlegel-tesseract-projection.svg,figure,Schlegel-style tesseract projection,Matplotlib SVG,Compare near and far cubic facets and trace the 8 connector edges
artifacts/chapter-22/html/tesseract-projection.html,interactive,Tesseract 4D-to-3D projection,Plotly HTML,"Rotate the shadow and notice that incidence, not length, is the reliable datum"
artifacts/chapter-22/figures/cross-polytope-section-sweep.svg,figure,16-cell section sweep,Matplotlib mplot3d SVG,Compare how octahedral sections shrink as |w| increases
artifacts/chapter-22/html/cross-polytope-section-sweep.html,interactive,16-cell section sweep,Plotly HTML,Rotate the octahedral sections and compare their shared combinatorics
artifacts/chapter-22/data/cross-polytope-section-volumes.csv,data,Section volume scale,Pandas/CSV,Check the cubic volume law for sections of the 16-cell
artifacts/chapter-22/tables/regular-polytope-f-vectors.csv,table,Regular 4-polytope f-vectors,Pandas/CSV,Audit the vertex-edge-face-cell counts and duality pairs
artifacts/chapter-22/figures/regular-polytope-f-vectors.svg,figure,Regular 4-polytope f-vectors and duality,Matplotlib + NetworkX SVG,Check Euler zero and read the duality graph
artifacts/chapter-22/tables/honeycomb-symbol-admissibility.csv,table,Honeycomb symbol admissibility,Pandas/CSV,Filter triples by local cell conditions and the Schlafli margin
artifacts/chapter-22/figures/honeycomb-symbol-admissibility.svg,figure,Honeycomb symbol admissibility classes,Matplotlib + SymPy SVG,Locate the Euclidean boundary and the nearby finite/hyperbolic cases
artifacts/chapter-22/data/d4-root-neighbor-shell.csv,data,D4 root neighbor shell,NumPy/Pandas CSV,Verify the 24 equal-distance contacts around one 4-sphere
artifacts/chapter-22/figures/d4-close-packing-neighbors.svg,figure,D4 close packing neighbor shell,Matplotlib + SciPy distance SVG,Count contacts and connect the visible shell to true 4D distances
artifacts/chapter-22/data/statistical-honeycomb-voronoi-cells.csv,data,Statistical Voronoi honeycomb cells,SciPy Voronoi + Pandas CSV,Inspect side-count and area distributions for bounded sample cells
artifacts/chapter-22/figures/statistical-honeycomb-voronoi.svg,figure,Statistical honeycomb Voronoi proxy,SciPy Voronoi + Matplotlib SVG,Compare sampled cell side counts with the idea of a regular symbol
artifacts/chapter-22/data/section-volume-lab.csv,data,Section-volume lab samples,NumPy/Pandas CSV,Vary the 4D slice level and verify cubic shrinkage
artifacts/chapter-22/figures/section-volume-lab.svg,figure,16-cell section-volume lab,Matplotlib SVG,Move the slicing plane and watch the normalized volume curve
artifacts/chapter-22/tables/artifact_manifest.csv,table,Chapter artifact manifest,CSV,List every generated chapter-22 artifact and its inspection target
artifacts/chapter-22/checks/visual_summary.json,check,Visual summary and invariants,JSON,"Audit source span, artifact paths, and chapter-specific checks"
artifacts/chapter-22/checks/four-dimensional-geometry-invariants.json,check,Detailed 4D geometry invariants,JSON,Inspect all numerical and symbolic checks from the notebook
