book,book_num,primary_theme,source_selected,source_role,sample_tags,course_checkpoint
I,1,foundations,True,"definitions, postulates, common notions, planar constructions, parallels, area, metric tests",defs; postulates; common notions; I.1; I.9-12; I.27-32; I.35-48,"axiom audit, straightedge-compass moves, parallel-postulate and Pythagorean checks"
II,2,construction,True,geometric algebra through rectangles and squares,II.1; II.4-6; II.11; II.14,segment arithmetic and exact polynomial identities
III,3,circle,True,"circle centers, tangents, chords, cyclic angles, secants",III.1-2; III.16-22; III.31-37,"circle predicates, tangent perpendicularity, inversion-era power checks"
IV,4,construction,True,"inscribed and circumscribed figures, regular polygons",IV.1-5; IV.10-12; IV.15-16,polygon construction and regular-pentagon tests
V,5,proportion,True,general theory of ratio for magnitudes,V.def.4-5,ordered magnitude comparison and Eudoxus-style ratio logic
VI,6,proportion,True,"similar triangles, proportional cuts, mean proportional, similar figures",VI.1-6; VI.8; VI.12-13; VI.16; VI.30-31,"similarity, coordinates, and proportional-area checks"
VII,7,number,False,not itemized in the appendix span; whole-book arithmetic bridge,number theory bridge,integer divisibility and Euclidean algorithm context
VIII,8,number,False,not itemized in the appendix span; whole-book arithmetic bridge,continued proportion bridge,"powers, ratios, and discrete proportional structure"
IX,9,number,False,not itemized in the appendix span; whole-book arithmetic bridge,number theory bridge,arithmetic obstruction and finite descent context
X,10,number,True,exhaustion-style size lemma and incommensurability,X.1; X.117,constructibility obstructions and radical degree checks
XI,11,solid,True,"solid definitions, solid angles, parallelepipeds",XI.def.25-28; XI.21; XI.28-31,"polyhedron vocabulary, volume equality, and mesh diagnostics"
XII,12,solid,True,exhaustion and volume comparison,XII.2-3; XII.5; XII.7,"area and volume ratios, pyramid/prism decomposition"
XIII,13,solid,True,regular pentagon and the five regular solids in spheres,XIII.7; XIII.10; XIII.13-18,Platonic-solid classification and Euler/angle-defect sanity checks
