concept,computational_object,check
action functional,finite action spectrum,spectral values belong to action spectrum
Floer differential,boundary matrices d1 and d2,d1*d2=0 over mod 2 and with signed cancellation
energy/action identity,edge energy table,every connecting edge has positive action drop
continuation and PSS,commuting two-generator matrix model,PSS naturality residual is zero
pair-of-pants product,QH(CP1) multiplication table,unit and associativity residuals vanish
Poincare duality,anti-diagonal pairing matrix,pairing determinant is nonzero
spectral invariants,filtered barcode,selected rho is an action-spectrum value
Seidel representation,multiplication by H,matrix is invertible after adjoining q^-1 and spectral shift residual is zero
Donaldson quantum category,finite morphism table,composition labels are associative
vortex moment equation,S1-on-C moment map,penalty minimum lies on mu=0
