source_cluster,theme,modern_checkpoint,course_reuse,check_type
"Book I definitions, postulates, common notions",foundations,"model predicates for point, line, circle, equality, extension, and comparison",Ch. 1-3 axiom and model audits,incidence/equality assumptions
"I.1, I.9-I.12, I.46",construction,"construct witness objects and verify equal lengths, bisection, perpendicularity, or square sides",Ch. 1 and Ch. 6 straightedge-compass construction tests,distance and angle residuals
I.27-I.32,foundations,compare Euclidean parallel consequences with neutral and hyperbolic behavior,Ch. 2 and Ch. 7 parallel-postulate checkpoints,angle sum and parallel predicate
I.35-I.48,construction,translate area comparisons and the Pythagorean theorem into exact identities,Ch. 4-5 segment arithmetic and area,polynomial and area residuals
Book II selected area algebra,construction,turn rectangle-and-square statements into algebraic expansions,Ch. 4 coordinates and segment operations,SymPy identity
Book III circle and tangent tags,circle,"test center, tangent, chord, angle, and secant power relations",Ch. 1 circle constructions and Ch. 7 inversion,orthogonality and product equality
Book IV regular polygon tags,construction,regular polygon construction is a field/angle checkpoint,Ch. 6 constructibility,side length and symmetry residuals
Book V-VI ratio and similarity tags,proportion,"ratios, similar triangles, fourth/mean proportionals, and similar-figure area scaling",Ch. 4 segment arithmetic and Ch. 6 field extensions,ratio/product equality
Books VII-IX arithmetic bridge,number,integer arithmetic supplies the language for obstruction and descent,Ch. 6 constructibility obstructions,integer/radical obstruction
Book X size and incommensurability tags,number,detect a radical relation that no rational square can satisfy exactly,Ch. 3 fields and Ch. 6 extensions,minimal polynomial residual
Book XI-XII solid and volume tags,solid,"represent solids by counts, decompositions, and volume-ratio invariants",Ch. 5 volume and Ch. 8 polyhedra,Euler and volume ratios
Book XIII regular-solid tags,solid,classify regular convex solids by finite angle-budget candidates,Ch. 8 regular solids,Euler characteristic and angle defect
