artifact,kind,concept,representation,inspection_target
artifacts/chapter-08/figures/coordinate-dictionary-conics-tangents.png,figure,Coordinate systems and conic/tangent dictionary,Matplotlib PNG,"Compare Cartesian, polar, conic, and tangent representations on one coordinate stage"
artifacts/chapter-08/checks/coordinate-dictionary-checks.json,check,Conic classification and tangent condition,JSON,Check conic discriminant signs and tangent-gradient perpendicularity
artifacts/chapter-08/tables/ellipse-arc-area-convergence.csv,table,Ellipse arc length and area convergence,CSV,Inspect convergence of polygonal length and determinant-style area
artifacts/chapter-08/figures/arc-length-area-convergence.png,figure,Arc length and area convergence,Matplotlib PNG,Compare secant-length approximation with determinant area convergence
artifacts/chapter-08/checks/arc-length-area-checks.json,check,Arc length and area numerical invariants,JSON,Confirm area convergence and perimeter sanity against an independent approximation
artifacts/chapter-08/figures/circular-hyperbolic-sector-analogy.png,figure,Circular and hyperbolic coordinate analogy,Matplotlib PNG,Inspect how circle and rectangular-hyperbola parameters encode sector geometry
artifacts/chapter-08/checks/circular-hyperbolic-identities.json,check,Circular and hyperbolic function identities,JSON,Verify the algebraic identities and derivative swaps behind the visual analogy
artifacts/chapter-08/figures/equiangular-spiral-constant-angle.png,figure,Equiangular spiral tangent invariant,Matplotlib PNG,Inspect constant angle between radius and tangent along a logarithmic spiral
artifacts/chapter-08/html/equiangular-spiral-self-similarity.html,html,Equiangular spiral self-similarity,Plotly HTML,Toggle rotated and dilated copies to see that the curve shape persists
artifacts/chapter-08/checks/equiangular-spiral-checks.json,check,Equiangular spiral invariants,JSON,Check constant tangent angle and rotate-dilate scale factors
artifacts/chapter-08/html/three-dimensional-coordinates-ruled-quadric.html,html,3D coordinates and ruled quadrics,Plotly 3D HTML,Rotate the ruled surface and compare its straight-line families with the tangent plane construction
artifacts/chapter-08/figures/ruled-quadric-families-projection.png,figure,Ruled quadric line families,Matplotlib PNG,Inspect two straight-line families whose coordinates sweep a hyperbolic paraboloid
artifacts/chapter-08/checks/three-dimensional-coordinate-checks.json,check,3D coordinate and quadric invariants,JSON,Check sphere tangent plane residual and ruled-surface family counts
artifacts/chapter-08/tables/quadratic-coordinate-view-lab.csv,table,Quadratic conic classification lab,CSV,Map conic discriminants to the coordinate view that makes the geometry easiest to inspect
artifacts/chapter-08/checks/quadratic-coordinate-view-lab.json,check,Quadratic coordinate-view lab checks,JSON,Confirm discriminant classification for representative coordinate choices
artifacts/chapter-08/tables/artifact-manifest.csv,table,Chapter artifact manifest,CSV,List every generated chapter-08 artifact and its inspection target
