source_part,captured_as,notebook_section
Definition and examples of Lie groups,"SE(2) matrix model, analytic group law, one-parameter motion",SE(2) exponential
Lie algebra and adjoint representation,"matrix brackets, sl2 adjoint action, Ad-exp identity",Adjoint action
Universal enveloping algebra,Heisenberg PBW normal-order rewrite ledger,PBW and enveloping algebra
Differential of exp and local group law,exponential homomorphism check and BCH/local behavior note,SE(2) exponential and adjoint action
Lie subgroups and subalgebras,"torus irrational winding, closedness/topological subgroup warning",Subgroups and closedness
Transformation groups,"orbit, isotropy, and induced vector field interpretation",Cosets and homogeneous spaces
Coset spaces,SO(3)/SO(2) local cross-section model for S2,Cosets and homogeneous spaces
Semisimple and compact Lie groups,Killing form signature table and compactness criterion,Killing form
Invariant differential forms,Maurer-Cartan equations for Heisenberg forms,Invariant forms
Perspectives and exercises,"coverage ledger for no-small-subgroups, exponential non-surjectivity, closed subgroups, invariant forms",Coverage ledger and takeaways
