concept,kind,path,inspection_target
theorema egregium,html,artifacts/chapter-20/html/theorema-egregium-intrinsic-vs-embedding.html,plane and cylinder have different embeddings but identical local metric coefficients
theorema egregium,check,artifacts/chapter-20/checks/theorema-egregium-metric-checks.json,metric coefficients and symbolic radial curvature values
geodesic differential equations,figure,artifacts/chapter-20/figures/geodesic-equations-constant-curvature-flow.png,path shape in three constant-curvature models generated from the same ODE template
geodesic differential equations,table,artifacts/chapter-20/tables/geodesic-equation-ode-invariants.csv,numerical conservation of speed and angular momentum
geodesic differential equations,check,artifacts/chapter-20/checks/geodesic-equation-ode-checks.json,ODE solver drift tolerances for geodesic invariants
integral curvature of geodesic triangles,figure,artifacts/chapter-20/figures/geodesic-triangle-curvature-budget.png,positive spherical excess and negative hyperbolic curvature integral
integral curvature of geodesic triangles,table,artifacts/chapter-20/tables/geodesic-triangle-curvature-budget.csv,"angle sums, signed curvature integrals, and areas"
integral curvature of geodesic triangles,check,artifacts/chapter-20/checks/geodesic-triangle-curvature-checks.json,Gauss-Bonnet angle excess and defect identities
Euler-Poincare characteristic,figure,artifacts/chapter-20/figures/euler-poincare-total-curvature-ledger.png,V-E+F and total angle deficit agree with 2 pi chi
Euler-Poincare characteristic,table,artifacts/chapter-20/tables/euler-poincare-curvature-ledger.csv,mesh counts and total curvature ledger
Euler-Poincare characteristic,check,artifacts/chapter-20/checks/euler-poincare-curvature-checks.json,closed-surface total curvature equals 2 pi times Euler characteristic
constant-curvature surfaces,figure,artifacts/chapter-20/figures/constant-curvature-geodesic-circles.png,"geodesic circle circumference separates K=1, K=0, and K=-1"
constant-curvature surfaces,table,artifacts/chapter-20/tables/constant-curvature-geodesic-circle-circumferences.csv,"circle circumference samples for positive, zero, and negative curvature"
constant-curvature surfaces,check,artifacts/chapter-20/checks/constant-curvature-metric-checks.json,symbolic K=-f''/f and sampled circumference values
angle of parallelism,figure,artifacts/chapter-20/figures/angle-of-parallelism-lobachevsky.png,Pi(a) is monotone and satisfies the hyperbolic right-triangle identities
angle of parallelism,table,artifacts/chapter-20/tables/angle-of-parallelism-values.csv,sample values and half-angle identity
angle of parallelism,check,artifacts/chapter-20/checks/angle-of-parallelism-checks.json,monotonicity and Lobachevsky identity residuals
pseudosphere,html,artifacts/chapter-20/html/pseudosphere-tractrix-negative-curvature.html,tractrix surface with meridian geodesics and horocycle circles
pseudosphere,check,artifacts/chapter-20/checks/pseudosphere-metric-curvature-checks.json,metric coefficients imply K=-1 while the cusp edge limits the model
applied lab: curvature from geodesic circles,table,artifacts/chapter-20/data/geodesic-circle-curvature-recovery-lab.csv,finite-difference recovery of K from circumference growth
applied lab: curvature from geodesic circles,check,artifacts/chapter-20/checks/geodesic-circle-curvature-recovery-checks.json,finite-difference curvature estimates remain close to symbolic constants
proof and invariant scaffold,figure,artifacts/chapter-20/figures/geodesics-proof-invariant-scaffold.png,dependency chain from metric data to geodesic and curvature conclusions
proof and invariant scaffold,check,artifacts/chapter-20/checks/geodesics-proof-invariant-scaffold-checks.json,proof dependency edges and acyclicity check
