source_concept,computational_object,inspection_target,check
regular connected pair,node-matching proof graph,transversality feeds the first node,dependency graph is acyclic
connected sum,annular radius model,which annuli carry transitions,radii are strictly ordered
weighted norms,theta_R density,inner disk and outer region receive equal area,symbolic volume difference is zero
cutoff functions,logarithmic beta,derivative energy shrinks on long annuli,numeric integral matches exact formula
approximate solution,neck residual curve,defect decreases with R,raw residual is monotone decreasing
right inverse and Newton correction,finite Neumann-series model,approximate inverse becomes exact,Neumann residual is tiny
derivative/gluing map,tangent projection diagram,correction derivative becomes negligible,toy orientation determinants remain positive
surjectivity,four-step approximation ladder,weak closeness reaches normal form,all four proof moves represented
splitting axiom,diagonal pairing graph,node condition splits through a basis,finite pairing total equals manual sum
theorem 10.9 revisit,lambda disk,lambda -> 0 iff R -> infinity,|lambda| R^2 = 1
