source_part,captured_as,notebook_section
1 Manifolds,"smooth atlases, compatibility, bump functions, partitions of unity",Smooth structure and partitions
2 Tensor fields,"tangent derivations, tensor/form grammar, exterior derivative",Forms and pullbacks
3 Mappings,"differential, regular maps, submanifold local form, pushforward, pullback",Mapping differential
4 Affine connections,covariant derivative and connection coefficients as rules for differentiating fields,Connections to exponential maps
5 Parallelism,parallel transport as connection-controlled comparison along curves,Connections to exponential maps
6 Exponential mapping,geodesic fan from tangent vectors and normal coordinate intuition,Sphere exponential map
7 Normal and convex neighborhoods,local uniqueness/minimizing behavior of short geodesics,Sphere exponential map
8 Structural equations,torsion/curvature as defects measured by moving frames,Curvature measurements
9 Riemannian connection,metric-compatible torsion-free connection as the canonical differentiator,Curvature measurements
10 Geodesics and distance,local minimizing geodesics and radial distance comparisons,Curvature measurements
11 Isometries,"isometries preserve geodesics, curvature, and metric measurements",Curvature measurements
12 Sectional curvature,area deficit and Jacobi factors for 2-planes,Curvature measurements
13 Negative curvature,"length expansion of d Exp, triangle angle deficit, fixed-point intuition",Negative curvature lab
14 Totally geodesic submanifolds,ambient geodesic residual for equator versus latitude,Totally geodesic check
15 Appendix,"paracompactness, shrinking covers, separability, constant-rank normal form",Coverage map and takeaways
Exercises A-G,"selected executable witnesses for Lie derivative/interior product, affine connection curvature, surface-style parallel transport, and hyperbolic constant-curvature behavior; remaining proof exercises are listed as further work","Exterior algebra, connection lab, curvature lab, and coverage ledger"
