canonical edge,closed-cycle total exponent,exponent contribution,face,inspection target,oriented edge,validation role
A-B,0,1,ABC,opposite orientations on a shared edge contribute reciprocal factors,A->B,sum canonical edge exponents; interior or closed-cycle edges should cancel
B-C,0,1,ABC,opposite orientations on a shared edge contribute reciprocal factors,B->C,sum canonical edge exponents; interior or closed-cycle edges should cancel
A-C,0,-1,ABC,opposite orientations on a shared edge contribute reciprocal factors,C->A,sum canonical edge exponents; interior or closed-cycle edges should cancel
A-D,0,1,ADB,opposite orientations on a shared edge contribute reciprocal factors,A->D,sum canonical edge exponents; interior or closed-cycle edges should cancel
B-D,0,-1,ADB,opposite orientations on a shared edge contribute reciprocal factors,D->B,sum canonical edge exponents; interior or closed-cycle edges should cancel
A-B,0,-1,ADB,opposite orientations on a shared edge contribute reciprocal factors,B->A,sum canonical edge exponents; interior or closed-cycle edges should cancel
A-C,0,1,ACD,opposite orientations on a shared edge contribute reciprocal factors,A->C,sum canonical edge exponents; interior or closed-cycle edges should cancel
C-D,0,1,ACD,opposite orientations on a shared edge contribute reciprocal factors,C->D,sum canonical edge exponents; interior or closed-cycle edges should cancel
A-D,0,-1,ACD,opposite orientations on a shared edge contribute reciprocal factors,D->A,sum canonical edge exponents; interior or closed-cycle edges should cancel
B-D,0,1,BDC,opposite orientations on a shared edge contribute reciprocal factors,B->D,sum canonical edge exponents; interior or closed-cycle edges should cancel
C-D,0,-1,BDC,opposite orientations on a shared edge contribute reciprocal factors,D->C,sum canonical edge exponents; interior or closed-cycle edges should cancel
B-C,0,-1,BDC,opposite orientations on a shared edge contribute reciprocal factors,C->B,sum canonical edge exponents; interior or closed-cycle edges should cancel
