group,name,formula,check
grade selection,outer product,<A_r B_s>_{r+s},equals A_r.wedge(B_s)
grade selection,left contraction,<A_r B_s>_{s-r},zero when r > s
grade selection,right contraction,<A_r B_s>_{r-s},zero when r < s
operators,projection onto blade,(x << B) B^{-1},projection plus rejection recovers x
operators,rejection from blade,(x wedge B) B^{-1},rejection is orthogonal to the blade
operators,unit-vector reflection,-n x n,component along n changes sign
rotors,shortest rotor from a to b,(1 + b a) / sqrt(2 (1 + a dot b)),R a reverse(R) equals b
involutions,reverse sign,(-1)^{r(r-1)/2},bivectors and trivectors reverse sign
metrics,null vector,x dot x = 0,possible in mixed or degenerate signatures
conformal,normalized point,P(x) = o + x + 1/2 |x|^2 infinity,P(x) dot P(x) = 0
