path,kind,description
artifacts/chapter-21/checks/source-span.json,checks,source span inspected
artifacts/chapter-21/tables/surface-classification.csv,tables,orientable and nonorientable surface classification data
artifacts/chapter-21/figures/surface-characteristic-dictionary.svg,figures,"surface classification, Euler characteristic, and color-count dictionary"
artifacts/chapter-21/checks/surface-euler-characteristics.json,checks,Euler characteristic formulas for orientable and nonorientable closed surfaces
artifacts/chapter-21/html/orientability-frame-transport.html,html,interactive frame-transport test for orientability
artifacts/chapter-21/checks/orientability-frame-checks.json,checks,orientability via transported local frame
artifacts/chapter-21/tables/regular-map-counts.csv,tables,regular map incidence counts and torus families
artifacts/chapter-21/checks/regular-map-formula-checks.json,checks,regular map incidence equations
artifacts/chapter-21/figures/regular-map-counts-and-duals.svg,figures,"regular map formula, duality, and torus families"
artifacts/chapter-21/figures/four-color-face-adjacency-examples.svg,figures,face-adjacency graph coloring examples for the four-color problem
artifacts/chapter-21/checks/four-color-example-checks.json,checks,map coloring as face-adjacency graph coloring
artifacts/chapter-21/figures/six-color-induction-step.svg,figures,six-color theorem induction step with a low-edge face
artifacts/chapter-21/checks/six-color-theorem-checks.json,checks,six-color theorem low-edge-face induction
artifacts/chapter-21/tables/heawood-bound-table.csv,tables,Heawood sufficient color counts by Euler characteristic
artifacts/chapter-21/figures/heawood-bound-by-characteristic.svg,figures,Heawood sufficient color bound by Euler characteristic
artifacts/chapter-21/checks/heawood-bound-checks.json,checks,Heawood sufficient color bound
artifacts/chapter-21/tables/full-color-witnesses.csv,tables,complete-graph witnesses for full surface color counts
artifacts/chapter-21/figures/full-color-witness-cliques.svg,figures,complete graph witnesses and Klein-bottle exception for full color counts
artifacts/chapter-21/checks/full-color-witness-checks.json,checks,full color count witnesses by complete graphs
artifacts/chapter-21/tables/surface-color-witness-lab.csv,tables,surface color witness genus exploration
artifacts/chapter-21/checks/surface-color-witness-lab-checks.json,checks,complete graph witness exploration
artifacts/chapter-21/checks/storyboard.json,checks,chapter 21 visual storyboard implemented
artifacts/chapter-21/checks/final-sanity-summary.json,checks,chapter 21 final sanity checks
artifacts/chapter-21/checks/visual_summary.json,checks,chapter 21 visual summary
artifacts/chapter-21/tables/artifact_manifest.csv,tables,chapter 21 artifact manifest
