concept,kind,path,role,library
chapter storyboard,checks,artifacts/chapter-14/checks/storyboard.json,implementation plan and source-specific visual sequence,json
projective-plane axioms,figures,artifacts/chapter-14/figures/projective_plane_axioms_and_infinity.png,affine completion plus finite-model incidence checks,"Matplotlib, finite-field arithmetic"
projective coordinates,figures,artifacts/chapter-14/figures/projective_coordinates_join_meet.png,join and meet as homogeneous cross products,"Matplotlib, NumPy"
Desargues theorem,figures,artifacts/chapter-14/figures/desargues_perspective_axis.png,perspective triangles with checked collinear side-intersections,"Matplotlib, NumPy"
quadrangular and harmonic sets,figures,artifacts/chapter-14/figures/quadrangle_harmonic_cross_ratio.png,complete quadrangle section with checked harmonic cross-ratio,"Matplotlib, NumPy"
projectivities,tables,artifacts/chapter-14/tables/projectivity_cross_ratio_samples.csv,sample range correspondence and parameters,csv
projectivities,html,artifacts/chapter-14/html/projectivity_cross_ratio_range.html,interactive range correspondence preserving cross-ratio,"Plotly, SymPy"
collineations,figures,artifacts/chapter-14/figures/homography_collineation_grid.png,synthetic grid warped by a projective homography,"OpenCV, NumPy"
applied lab,tables,artifacts/chapter-14/tables/projective_metric_vs_incidence_lab.csv,metric quantities compared with projective invariants under a homography,"OpenCV, csv"
correlations and conics,figures,artifacts/chapter-14/figures/correlation_polarity_conic.png,pole-polar diagram with tangent identity,"Matplotlib, NumPy"
conics,figures,artifacts/chapter-14/figures/pascal_conic_collinearity.png,six conic points with checked Pascal line,"Matplotlib, NumPy"
projective space,html,artifacts/chapter-14/html/projective_space_regulus_ruled_quadric.html,interactive ruled quadric with two families of generators,"Plotly, NumPy"
Euclidean space,html,artifacts/chapter-14/html/euclidean_space_absolute_polarity.html,interactive direction sphere showing absolute polarity and orthogonality,"Plotly, NumPy"
chapter invariant checks,checks,artifacts/chapter-14/checks/chapter_14_invariant_checks.json,numeric and symbolic validation payload for all projective artifacts,json
