title,printed_start,pdf_start,notebook_component,computational_hook,status
Preliminaries,213,228,opening translation guide,"curve objects routed to ledgers, lattices, and graphs",implemented
Embedding Riemann Surfaces,213,228,preliminaries and canonical sketches,canonical map and high-degree embedding principle,implemented
The Riemann-Hurwitz Formula,216,231,branched covering ledger,"degree, base genus, source genus, ramification sum",implemented
The Genus Formula,219,234,plane curve genus ledger,g=(d-1)(d-2)/2 exact check,implemented
"Cases g = 0,1",222,237,low-genus sanity checks,P1 and elliptic torus examples,implemented
Abel's Theorem,224,239,Abel-Jacobian torus path,divisor sums modulo a period lattice,implemented
Abel's Theorem - First Version,224,239,Abel-Jacobian torus path,line-style triples summing to a lattice vector,implemented
The First Reciprocity Law and Corollaries,229,244,Abel-Jacobian torus path,period-lattice bookkeeping and bilinear relation note,implemented
Abel's Theorem - Second Version,232,247,Abel-Jacobian torus path,principal divisors detected by zero Abel-Jacobi class,implemented
Jacobi Inversion,235,250,Abel-Jacobian torus path,generic divisor coordinates fill the torus,implemented
Linear Systems on Curves,240,255,Riemann-Roch balance,linear systems as h0 ledgers,implemented
Reciprocity Law II,240,255,Riemann-Roch balance,residue constraints become rank conditions,implemented
The Riemann-Roch Formula,243,258,Riemann-Roch balance,h0(D)-h0(K-D)=deg(D)+1-g,implemented
Canonical Curves,246,261,canonical and hyperelliptic sketches,canonical map separates nonhyperelliptic points,implemented
Special Linear Systems I,249,264,Riemann-Roch balance,special divisors add dimensions on both sides,implemented
Hyperelliptic Curves and Riemann's Count,253,268,canonical and hyperelliptic sketches,2-to-1 cover with 2g+2 branch points,implemented
Special Linear Systems II,259,274,Plucker ramification ledger,special systems as unexpected ramification/rank drops,implemented
Plucker Formulas,263,278,Plucker ramification ledger,total ramification of a g^r_d,implemented
Associated Curves,263,278,Plucker ramification ledger,associated/dual curve counts tracked as rows,implemented
Ramification,264,279,Plucker ramification ledger,vanishing sequence weights,implemented
The General Plucker Formulas I,268,283,Plucker ramification ledger,(r+1)(d+r(g-1)) check,implemented
The General Plucker Formulas II,271,286,Plucker ramification ledger,canonical specialization gives g^3-g,implemented
Weierstrass Points,273,288,Plucker ramification ledger,canonical ramification equals total Weierstrass weight,implemented
Plucker Formulas for Plane Curves,277,292,plane Plucker ledger,smooth dual class and flex count rows,implemented
Correspondences,282,297,weighted correspondence graph,bidegrees as graph weights,implemented
Definitions and Formulas,282,297,weighted correspondence graph,edge labels expose source/target degrees,implemented
Geometry of Space Curves,290,305,weighted correspondence graph,correspondence route to secants/tangents/space data,implemented
Special Linear Systems III,298,313,weighted correspondence graph,special systems recorded as graph nodes and rank constraints,implemented
Complex Tori and Abelian Varieties,300,315,theta lattice heatmap,C^g modulo period lattice,implemented
The Riemann Conditions,300,315,theta lattice heatmap,positive imaginary part / polarization check,implemented
Line Bundles on Complex Tori,307,322,theta lattice heatmap,theta section as a line-bundle section model,implemented
Theta-Functions,317,332,theta lattice heatmap,quasi-periodicity residuals,implemented
The Group Structure on an Abelian Variety,324,339,theta lattice heatmap,translation on the torus and group-law note,implemented
Intrinsic Formulations,326,341,Torelli dependency map,"coordinate-free route via H1, H0(K), and polarization",implemented
Curves and Their Jacobians,333,348,Torelli dependency map,curve to Jacobian to theta divisor,implemented
Preliminaries on Jacobians,333,348,Torelli dependency map,canonical homology basis and period matrix,implemented
Riemann's Theorem,338,353,Torelli dependency map,theta divisor identified with W_{g-1} up to translate,implemented
Riemann's Singularity Theorem,341,356,Torelli dependency map,theta singularities record moving divisors,implemented
Special Linear Systems IV,349,364,Torelli dependency map,Brill-Noether loci as degeneracy data,implemented
Torelli's Theorem,359,374,Torelli dependency map,principally polarized Jacobian reconstructs the curve,implemented
