concept,learner_question,check
Lie group,Which operations must be smooth?,S^1 product and inverse residuals
translation,How does identity data move globally?,left translation chord-distance residual
homomorphism,Does F(gh)=F(g)F(h) hold?,epsilon homomorphism residual
kernel,Which elements map to the identity?,integer samples hit identity
Lie subgroup,"Is the subgroup embedded, open, closed, or immersed?",determinant kernel and dense torus coverage
group action,What diffeomorphism does each group element define?,SO(2) radius preservation
orbit,What image does the orbit map trace?,rank one for nonzero SO(2) orbit
stabilizer,Which group elements fix the point?,origin fixed by sampled rotations
equivariant map,Does the action commute with the map?,epsilon_2 equivariance residual
semidirect product,Where does the twist enter multiplication?,Euclidean associativity and inverse residuals
representation,Is the matrix homomorphism faithful?,block translation and periodic-kernel checks
